text,id
"@republic  @pradip103  @arnabofficial9  u asli played with our emotion right. 

Frm last 2 days not a single news o… https://t.co/ERKhxHDe2Z",5
i'm now convinced that most of the monbebes are multi fandom and i'm very sad :(,5
"@SylviaDeeDee Yep, confidence tricks are as old as the hills &amp; there have always been two essential elements for th… https://t.co/r1cQjzEAnl",5
"sad, i miss him 😔 https://t.co/Pnk1q2nRc8",5
"Love puts the fun in together, the sad in apart, and the joy in a heart.",5
@KeletsoMs That must be sad yazi🤞🏼😢,5
@unattened @kittybunny470 @megalorain @2Dzz2 @Phil_Lewis_ The cell line is from fetal tissue gathered back N 1980.… https://t.co/ZiOelAZjpZ,5
💔💔💔 back to staying alone... the lil one just left. To say I’m sad would be an understatement,5
"People swear they wanna be my friend till im mad,sad,happy den i get goofy🤣🤣",5
@DevonLiveNews Sad losers https://t.co/lI4a5Ezq04,5
"@LifeMathMoney The worst thing is these fatsos have given up on health altogether,

Sad to see them be proud for ea… https://t.co/hyXuvkz2tv",5
Being sad with the right person is better than being happy with the wrong one.,5
"@ChiyangwaAshley @Colletkahona @itssimplysandra She already is.
A very bitter and sad woman",5
@C_E_Heaux Why you sad about dis https://t.co/8Zx7C5Xa80,5
Guess i won’t feel sad anymore when I listen to foals,5
The cheers got me real sad 💔💔💔,5
@PaulMer53 I found it so sad when I worked in a school poor kids neglected by druggie parents who had social worker… https://t.co/aK64B2BBPb,5
@VitalVegas It’s sad they even have to put this sign up.,5
I’m crying. I’m so sad 😭,5
"This makes me so sad, they couldn't be doing a worse job, corruption is rife, they are wasting our money at huge ra… https://t.co/wp9qi71msl",5
feeling sad? just reread the ending of ck 😊,5
@sadfuckhell Why so sad babe dm me and I'll make you happy,5
aw sad,5
"@thecuteabiola Y are u so sad?  Be a man,  resign  and join us",5
sad girl hours,5
Thinking a a bit about Edwin tonight after looking thru some tumblr stuffs again. They never got to see my art and… https://t.co/Lftlw739kN,5
just got hit with a wave of sad I miss sasha and tim https://t.co/zftsnwfRE9,5
"Even when everything looks sad and it looks like nothing is working, you are working thank you @gtbank",5
if i see anyone sad i feel like i’m supposed to make them in sad because i know what it’s like to not want to wake… https://t.co/II1LCxbt9O,5
"@ioverslept Not sad, just vibing",5
"@onlyxxio That's whole point, gotta make u weak for me;)",5
baepsae too i love to hear sad songs,5
stop being sad just fuck his homie ❤️,5
I get so sad leaving my dog at home while I get shit face drunk with friends on the weekends //: 🥺🥺,5
"@cjsbishop THIS is your gripe of the day? Sad, Chris.",5
